Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=12,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=12,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=24,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=24,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=12,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=12,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=24,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=24,hl=90)",+2.494,4.715,0.161,-0.041
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=5)",+2.464,4.436,0.237,-0.090
"KellyOptimal(mw=0.03,lb=280,kf=0.5,hl=90)",+2.441,4.742,0.172,-0.068
"KellyOptimal(mw=0.03,lb=280,kf=0.7,hl=90)",+2.441,4.742,0.172,-0.068
"KellyOptimal(mw=0.03,lb=280,kf=0.3,hl=90)",+2.441,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.001,hl=90)",+2.440,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.01,hl=90)",+2.440,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.05,hl=90)",+2.440,4.742,0.172,-0.068
"QPOptimal(mw=0.02,lb=120,rb=15)",+2.427,3.997,0.200,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.001,hl=45)",+2.426,4.772,0.145,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.01,hl=45)",+2.424,4.765,0.145,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.05,hl=45)",+2.424,4.764,0.145,-0.070
"KellyOptimal(mw=0.03,lb=240,kf=0.3,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.03,lb=240,kf=0.5,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.03,lb=240,kf=0.7,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.02,lb=240,kf=0.3,hl=90)",+2.389,4.668,0.144,-0.065
"KellyOptimal(mw=0.02,lb=240,kf=0.5,hl=90)",+2.389,4.668,0.144,-0.065
"KellyOptimal(mw=0.02,lb=240,kf=0.7,hl=90)",+2.389,4.668,0.144,-0.065
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.001,hl=45)",+2.386,4.588,0.171,-0.073
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.01,hl=45)",+2.386,4.587,0.171,-0.073
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.05,hl=45)",+2.386,4.587,0.171,-0.073
"SmoothAdaptive(lb=300,hl=60)",+2.379,3.717,0.212,-0.051
"SmoothAdaptive(lb=240,hl=60)",+2.363,3.667,0.212,-0.051
"SmoothAdaptive(lb=300,hl=30)",+2.360,3.670,0.211,-0.053
"SmoothAdaptive(lb=240,hl=30)",+2.359,3.663,0.210,-0.053
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.05,hl=90)",+2.356,4.542,0.146,-0.066
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.01,hl=90)",+2.356,4.542,0.146,-0.066
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.001,hl=90)",+2.355,4.540,0.146,-0.066
RiskParity(lb=240),+2.326,3.398,0.241,-0.055
"KellyOptimal(mw=0.03,lb=240,kf=0.3,hl=90)",+2.325,4.398,0.172,-0.069
"KellyOptimal(mw=0.03,lb=240,kf=0.5,hl=90)",+2.325,4.398,0.172,-0.069
"KellyOptimal(mw=0.03,lb=240,kf=0.7,hl=90)",+2.325,4.398,0.172,-0.069
"QPOptimal(mw=0.03,lb=120,rb=60)",+2.323,3.588,0.242,-0.073
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.001,hl=90)",+2.322,4.388,0.172,-0.069
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.01,hl=90)",+2.322,4.388,0.172,-0.069
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.05,hl=90)",+2.322,4.388,0.172,-0.069
"QPOptimal(mw=0.03,lb=120,rb=15)",+2.304,3.583,0.246,-0.061
"QPOptimal(mw=0.03,lb=120,rb=30)",+2.248,3.412,0.244,-0.066
"MinVarBayesian(mw=0.03,lb=240,hl=90)",+2.226,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=0.1,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=0.1,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=0.5,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=1.0,hl=90)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=0.5,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=2.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=4.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=240,k=1.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=2.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=1.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"CVXPYMVUtility(mw=0.03,lb=280,k=4.0,tc=1.0,hl=45)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=240,rb=12,hl=45)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=240,rb=12,hl=90)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=240,rb=24,hl=45)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=240,rb=24,hl=90)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=280,rb=12,hl=45)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=280,rb=12,hl=90)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=280,rb=24,hl=45)",+2.225,3.917,0.190,-0.047
"HRP(mw=0.03,lb=280,rb=24,hl=90)",+2.225,3.917,0.190,-0.047
"MinVarBayesian(mw=0.03,lb=280,hl=90)",+2.225,3.917,0.190,-0.047
"MinVarBayesian(mw=0.03,lb=280,hl=45)",+2.225,3.917,0.190,-0.047
"MinVarBayesian(mw=0.03,lb=240,hl=45)",+2.224,3.913,0.190,-0.047
"SelectSharpe(n=4,d=2)",+2.218,4.132,0.151,-0.053
"QPOptimal(mw=0.05,lb=120,rb=15)",+2.092,3.120,0.266,-0.088
"QPOptimal(mw=0.05,lb=120,rb=30)",+2.088,3.104,0.265,-0.089
"SelectSharpe(n=3,d=3)",+2.085,4.142,0.126,-0.057
"QPOptimal(mw=0.05,lb=120,rb=60)",+1.994,2.905,0.264,-0.080
IC-weighted(lb=60),+1.929,2.556,0.256,-0.060
RankDecay(d=3),+1.927,3.357,0.142,-0.045
"RegimeScaled(mw=0.03,lb=360,hl=30)",+1.833,3.210,0.157,-0.070
"ProperDDControl(mw=0.03,lb=280,mdd=0.03)",+1.790,3.084,0.160,-0.078
"ProperDDControl(mw=0.03,lb=240,mdd=0.03)",+1.786,3.068,0.161,-0.078
"RegimeScaled(mw=0.03,lb=280,hl=60)",+1.784,3.058,0.159,-0.070
"RegimeScaled(mw=0.03,lb=280,hl=30)",+1.782,3.066,0.159,-0.074
"ProperDecay(mw=0.03,lb=280,d=2,hl=60)",+1.772,3.027,0.159,-0.070
"ProperDDControl(mw=0.03,lb=280,mdd=0.08)",+1.772,3.037,0.159,-0.074
"ProperDDControl(mw=0.03,lb=280,mdd=0.05)",+1.771,3.041,0.159,-0.076
"ProperDecay(mw=0.03,lb=280,d=2,hl=30)",+1.771,3.035,0.159,-0.074
"RegimeScaled(mw=0.03,lb=360,hl=60)",+1.766,3.022,0.158,-0.068
"RegimeScaled(mw=0.03,lb=240,hl=30)",+1.760,3.002,0.160,-0.076
"RegimeScaled(mw=0.03,lb=240,hl=60)",+1.760,2.993,0.160,-0.072
"RegimeScaled(mw=0.02,lb=360,hl=30)",+1.755,3.077,0.130,-0.068
"ProperDDControl(mw=0.03,lb=240,mdd=0.05)",+1.749,2.980,0.160,-0.078
"ProperDecay(mw=0.03,lb=240,d=2,hl=30)",+1.749,2.972,0.160,-0.076
"ProperDDControl(mw=0.03,lb=240,mdd=0.08)",+1.749,2.972,0.160,-0.076
"ProperDecay(mw=0.03,lb=240,d=2,hl=60)",+1.748,2.963,0.160,-0.072
"RegimeScaled(mw=0.03,lb=240,hl=90)",+1.746,2.948,0.161,-0.070
"RegimeScaled(mw=0.03,lb=280,hl=90)",+1.740,2.935,0.160,-0.068
"ProperDecay(mw=0.03,lb=240,d=2,hl=90)",+1.735,2.918,0.161,-0.070
"ProperDecay(mw=0.03,lb=280,d=2,hl=90)",+1.729,2.905,0.160,-0.068
"SelectSharpe(n=4,d=3)",+1.706,3.027,0.127,-0.068
"RegimeScaled(mw=0.03,lb=360,hl=90)",+1.703,2.846,0.159,-0.064
"RegimeScaled(mw=0.02,lb=280,hl=30)",+1.702,2.919,0.132,-0.070
"ProperDDControl(mw=0.02,lb=280,mdd=0.08)",+1.698,2.908,0.132,-0.070
"ProperDecay(mw=0.02,lb=280,d=2,hl=30)",+1.693,2.895,0.132,-0.070
"RegimeScaled(mw=0.02,lb=240,hl=30)",+1.654,2.794,0.133,-0.070
"ProperDDControl(mw=0.02,lb=280,mdd=0.05)",+1.653,2.804,0.131,-0.072
"ProperDecay(mw=0.02,lb=240,d=2,hl=30)",+1.645,2.771,0.133,-0.070
"ProperDDControl(mw=0.02,lb=240,mdd=0.08)",+1.645,2.771,0.133,-0.070
"RegimeScaled(mw=0.02,lb=240,hl=60)",+1.634,2.738,0.133,-0.068
"ProperDecay(mw=0.02,lb=240,d=2,hl=60)",+1.625,2.715,0.133,-0.068
"RegimeScaled(mw=0.02,lb=280,hl=60)",+1.623,2.713,0.132,-0.067
"ProperDecay(mw=0.02,lb=280,d=2,hl=60)",+1.614,2.690,0.132,-0.067
"ProperDDControl(mw=0.02,lb=240,mdd=0.05)",+1.611,2.690,0.132,-0.072
"ProperDecay(mw=0.03,lb=240,d=3,hl=30)",+1.581,2.798,0.133,-0.070
"RegimeScaled(mw=0.02,lb=360,hl=60)",+1.578,2.616,0.131,-0.065
"ProperDecay(mw=0.03,lb=280,d=3,hl=30)",+1.572,2.779,0.132,-0.068
"ProperDecay(mw=0.03,lb=240,d=3,hl=60)",+1.564,2.745,0.133,-0.067
"ProperDecay(mw=0.03,lb=280,d=3,hl=60)",+1.558,2.729,0.132,-0.065
"ProperDecay(mw=0.03,lb=240,d=3,hl=90)",+1.526,2.636,0.133,-0.063
"RegimeScaled(mw=0.02,lb=240,hl=90)",+1.523,2.457,0.134,-0.065
"ProperDecay(mw=0.02,lb=240,d=2,hl=90)",+1.515,2.436,0.134,-0.065
"ProperDecay(mw=0.03,lb=280,d=3,hl=90)",+1.499,2.565,0.133,-0.062
"RegimeScaled(mw=0.02,lb=280,hl=90)",+1.476,2.346,0.133,-0.064
"ProperDecay(mw=0.05,lb=240,d=2,hl=30)",+1.471,2.368,0.171,-0.075
"ProperDecay(mw=0.05,lb=240,d=2,hl=90)",+1.469,2.336,0.172,-0.070
"ProperDecay(mw=0.02,lb=280,d=2,hl=90)",+1.467,2.325,0.133,-0.064
"ProperDecay(mw=0.05,lb=240,d=2,hl=60)",+1.460,2.326,0.171,-0.073
"ProperDecay(mw=0.05,lb=280,d=2,hl=90)",+1.458,2.311,0.171,-0.068
"ProperDecay(mw=0.05,lb=280,d=2,hl=60)",+1.446,2.293,0.171,-0.071
"ProperDecay(mw=0.05,lb=280,d=2,hl=30)",+1.424,2.254,0.170,-0.074
"ProperDDControl(mw=0.02,lb=240,mdd=0.03)",+1.420,2.221,0.132,-0.071
"ProperDDControl(mw=0.02,lb=280,mdd=0.03)",+1.402,2.187,0.131,-0.071
"RegimeScaled(mw=0.02,lb=360,hl=90)",+1.387,2.147,0.132,-0.061
"ProperDecay(mw=0.03,lb=280,d=4,hl=60)",+1.379,2.437,0.115,-0.063
"ProperDecay(mw=0.03,lb=240,d=4,hl=60)",+1.379,2.435,0.116,-0.065
"ProperDecay(mw=0.05,lb=240,d=3,hl=30)",+1.371,2.321,0.142,-0.073
"ProperDecay(mw=0.03,lb=280,d=4,hl=30)",+1.369,2.419,0.115,-0.067
"ProperDecay(mw=0.03,lb=240,d=4,hl=30)",+1.362,2.399,0.116,-0.069
"ProperDecay(mw=0.03,lb=240,d=4,hl=90)",+1.354,2.361,0.116,-0.062
"ProperDecay(mw=0.05,lb=240,d=3,hl=60)",+1.342,2.234,0.142,-0.070
"ProperDecay(mw=0.05,lb=240,d=3,hl=90)",+1.341,2.224,0.143,-0.068
"ProperDecay(mw=0.03,lb=280,d=4,hl=90)",+1.332,2.303,0.116,-0.060
"ProperDecay(mw=0.05,lb=280,d=3,hl=90)",+1.320,2.172,0.142,-0.067
"ProperDecay(mw=0.05,lb=280,d=3,hl=60)",+1.313,2.163,0.142,-0.069
"ProperDecay(mw=0.05,lb=280,d=3,hl=30)",+1.306,2.158,0.142,-0.071
"ProperDecay(mw=0.02,lb=280,d=3,hl=30)",+1.301,2.133,0.109,-0.074
"ProperDecay(mw=0.02,lb=240,d=3,hl=30)",+1.272,2.059,0.110,-0.073
"ProperDecay(mw=0.02,lb=240,d=3,hl=60)",+1.236,1.971,0.110,-0.066
"ProperDecay(mw=0.02,lb=280,d=3,hl=60)",+1.207,1.903,0.110,-0.068
"ProperDecay(mw=0.05,lb=240,d=4,hl=30)",+1.193,2.017,0.125,-0.076
"ProperDecay(mw=0.05,lb=240,d=4,hl=90)",+1.182,1.972,0.125,-0.072
"ProperDecay(mw=0.05,lb=240,d=4,hl=60)",+1.178,1.967,0.125,-0.072
"ProperDecay(mw=0.05,lb=280,d=4,hl=90)",+1.169,1.941,0.124,-0.074
"ProperDecay(mw=0.05,lb=280,d=4,hl=60)",+1.160,1.925,0.124,-0.074
"ProperDecay(mw=0.05,lb=280,d=4,hl=30)",+1.146,1.900,0.124,-0.076
"ProperDecay(mw=0.02,lb=240,d=3,hl=90)",+1.101,1.653,0.111,-0.063
"ProperDecay(mw=0.02,lb=280,d=3,hl=90)",+1.060,1.563,0.110,-0.064
"ProperDecay(mw=0.02,lb=280,d=4,hl=30)",+0.945,1.419,0.096,-0.079
"ProperDecay(mw=0.02,lb=240,d=4,hl=30)",+0.895,1.306,0.096,-0.077
"ProperDecay(mw=0.02,lb=280,d=4,hl=60)",+0.879,1.272,0.096,-0.073
"ProperDecay(mw=0.02,lb=240,d=4,hl=60)",+0.871,1.253,0.096,-0.072
"ProperDecay(mw=0.02,lb=240,d=4,hl=90)",+0.810,1.122,0.096,-0.069
"ProperDecay(mw=0.02,lb=280,d=4,hl=90)",+0.800,1.104,0.096,-0.070
"RegimeDeadband(mw=0.02,lb=240,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=240,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=240,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=240,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=240,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=240,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=280,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.02,lb=360,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=240,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=280,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=30,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=30,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=30,db=0.004)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=60,db=0.001)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=60,db=0.002)",+0.000,0.000,0.000,0.000
"RegimeDeadband(mw=0.03,lb=360,hl=60,db=0.004)",+0.000,0.000,0.000,0.000
